timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772269068039,262,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-1,text,true,,502503,312,1,1,https://baomoi.com/,166,0,38
1772269068303,262,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-1,text,true,,281354,323,1,1,https://baomoi.com/tin-moi.epi,156,0,0
1772269068649,250,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-2,text,true,,502518,312,1,1,https://baomoi.com/,141,0,33
1772269068900,165,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-2,text,true,,281290,323,1,1,https://baomoi.com/tin-moi.epi,123,0,0
1772269069238,298,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-3,text,true,,502724,312,1,1,https://baomoi.com/,182,0,28
1772269069538,149,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-3,text,true,,281322,323,1,1,https://baomoi.com/tin-moi.epi,96,0,0
1772269069838,240,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-4,text,true,,502746,312,1,1,https://baomoi.com/,145,0,30
1772269070079,151,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-4,text,true,,281322,323,1,1,https://baomoi.com/tin-moi.epi,80,0,0
1772269070437,543,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-5,text,true,,502271,312,1,1,https://baomoi.com/,401,0,35
1772269070982,138,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-5,text,true,,281345,323,2,2,https://baomoi.com/tin-moi.epi,81,0,0
1772269071037,263,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-6,text,true,,502531,312,1,1,https://baomoi.com/,163,0,38
1772269071302,148,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-6,text,true,,281322,323,1,1,https://baomoi.com/tin-moi.epi,78,0,0
1772269071636,271,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-7,text,true,,502753,312,1,1,https://baomoi.com/,159,0,51
1772269071908,183,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-7,text,true,,281330,323,1,1,https://baomoi.com/tin-moi.epi,97,0,0
1772269072242,277,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-8,text,true,,502729,312,1,1,https://baomoi.com/,148,0,38
1772269072521,207,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-8,text,true,,281347,323,1,1,https://baomoi.com/tin-moi.epi,93,0,0
1772269072842,297,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-9,text,true,,502552,312,1,1,https://baomoi.com/,156,0,31
1772269073140,176,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-9,text,true,,281291,323,1,1,https://baomoi.com/tin-moi.epi,111,0,0
1772269073437,314,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-10,text,true,,502535,312,1,1,https://baomoi.com/,164,0,26
1772269073753,195,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-10,text,true,,281370,323,1,1,https://baomoi.com/tin-moi.epi,80,0,0
1772269074038,271,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-11,text,true,,502951,312,1,1,https://baomoi.com/,133,0,30
1772269074310,198,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-11,text,true,,281371,323,1,1,https://baomoi.com/tin-moi.epi,89,0,0
1772269074639,323,GET - Trang chu,200,OK,Thread Group 2 - Kich ban tai nang 2-12,text,true,,502752,312,1,1,https://baomoi.com/,160,0,29
1772269074964,162,GET - Tin moi,200,OK,Thread Group 2 - Kich ban tai nang 2-12,text,true,,281291,323,1,1,https://baomoi.com/tin-moi.epi,89,0,0
